sample id	oxygen	replicate	week	project
1_LOW4	low	1	4	1056013
13_LOW5	low	1	5	1056037
25_LOW6	low	1	6	1056061
37_LOW7	low	1	7	1056085
49_LOW8	low	1	8	1056109
61_LOW9	low	1	9	1056133
73_LOW10	low	1	10	1056157
85_LOW11	low	1	11	1056181
97_LOW12	low	1	12	1056205
109_LOW13	low	1	13	1056229
121_LOW14	low	1	14	1056253
2_LOW4	low	2	4	1056016
14_LOW5	low	2	5	1056040
26_LOW6	low	2	6	1056064
38_LOW7	low	2	7	1056088
50_LOW8	low	2	8	1056112
62_LOW9	low	2	9	1056136
74_LOW10	low	2	10	1056160
86_LOW11	low	2	11	1056184
98_LOW12	low	2	12	1056208
110_LOW13	low	2	13	1056232
122_LOW14	low	2	14	1056256
3_LOW4	low	3	4	1056019
15_LOW5	low	3	5	1056043
27_LOW6	low	3	6	1056067
39_LOW7	low	3	7	1056091
51_LOW8	low	3	8	1056115
63_LOW9	low	3	9	1056139
75_LOW10	low	3	10	1056163
87_LOW11	low	3	11	1056187
99_LOW12	low	3	12	1056211
111_LOW13	low	3	13	1056235
123_LOW14	low	3	14	1056259
4_LOW4	low	4	4	1056022
16_LOW5	low	4	5	1056046
28_LOW6	low	4	6	1056070
40_LOW7	low	4	7	1056094
52_LOW8	low	4	8	1056118
64_LOW9	low	4	9	1056142
76_LOW10	low	4	10	1056166
88_LOW11	low	4	11	1056190
100_LOW12	low	4	12	1056214
112_LOW13	low	4	13	1056238
124_LOW14	low	4	14	1056262
7_HOW4	high	1	4	1056025
19_HOW5	high	1	5	1056049
31_HOW6	high	1	6	1056073
43_HOW7	high	1	7	1056097
55_HOW8	high	1	8	1056121
67_HOW9	high	1	9	1056145
79_HOW10	high	1	10	1056169
91_HOW11	high	1	11	1056193
103_HOW12	high	1	12	1056217
115_HOW13	high	1	13	1056241
127_HOW14	high	1	14	1056265
8_HOW4	high	2	4	1056028
20_HOW5	high	2	5	1056052
32_HOW6	high	2	6	1056076
44_HOW7	high	2	7	1056100
56_HOW8	high	2	8	1056124
68_HOW9	high	2	9	1056148
80_HOW10	high	2	10	1056172
92_HOW11	high	2	11	1056196
104_HOW12	high	2	12	1056220
116_HOW13	high	2	13	1056244
128_HOW14	high	2	14	1056268
9_HOW4	high	3	4	1056031
21_HOW5	high	3	5	1056055
33_HOW6	high	3	6	1056079
45_HOW7	high	3	7	1056103
57_HOW8	high	3	8	1056127
69_HOW9	high	3	9	1056151
81_HOW10	high	3	10	1056175
93_HOW11	high	3	11	1056199
105_HOW12	high	3	12	1056223
117_HOW13	high	3	13	1056247
129_HOW14	high	3	14	1056271
10_HOW4	high	4	4	1056034
22_HOW5	high	4	5	1056058
34_HOW6	high	4	6	1056082
46_HOW7	high	4	7	1056106
58_HOW8	high	4	8	1056130
70_HOW9	high	4	9	1056154
82_HOW10	high	4	10	1056178
94_HOW11	high	4	11	1056202
106_HOW12	high	4	12	1056226
118_HOW13	high	4	13	1056250
130_HOW14	high	4	14	1056274
